agent_id,horizon_step_0,horizon_step_1,horizon_step_2,horizon_step_3,horizon_step_4
784,"(13, 1)","(14, 1)","(15, 0)","(15, 0)","(15, 0)"
785,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
786,"(8, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
787,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
788,"(17, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
789,"(9, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
790,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
791,"(9, 1)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
792,"(15, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
793,"(8, 1)","(5, 1)","(1, 0)","(1, 0)","(1, 0)"
794,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
795,"(14, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
796,"(13, 0)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
797,"(4, 1)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
798,"(9, 0)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
799,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
800,"(11, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
801,"(0, 1)","(1, 1)","(2, 1)","(3, 1)","(18, 0)"
802,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
803,"(14, 1)","(13, 0)","(13, 0)","(13, 0)","(13, 0)"
804,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
805,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
806,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
807,"(14, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
808,"(9, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
809,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
810,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
811,"(15, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
812,"(5, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
813,"(10, 0)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
814,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
815,"(4, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
816,"(13, 1)","(9, 1)","(6, 1)","(3, 1)","(18, 0)"
817,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
818,"(0, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
819,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
820,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
821,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
822,"(16, 0)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
823,"(7, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
824,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
825,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
826,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
827,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
828,"(8, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
829,"(8, 1)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
830,"(15, 0)","(15, 0)","(15, 0)","(15, 0)","(15, 0)"
831,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
832,"(11, 0)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
833,"(8, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
834,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
835,"(10, 1)","(11, 0)","(11, 0)","(11, 0)","(11, 0)"
836,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
837,"(0, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
838,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
839,"(15, 1)","(11, 1)","(7, 1)","(18, 0)","(18, 0)"
840,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
841,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
842,"(0, 1)","(1, 1)","(2, 1)","(3, 1)","(18, 0)"
843,"(4, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
844,"(14, 0)","(14, 0)","(14, 0)","(14, 0)","(14, 0)"
845,"(3, 1)","(18, 0)","(18, 0)","(18, 0)","(18, 0)"
846,"(14, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
847,"(15, 1)","(11, 1)","(19, 1)","(18, 0)","(18, 0)"
848,"(2, 0)","(2, 0)","(2, 0)","(2, 0)","(2, 0)"
849,"(8, 1)","(9, 0)","(9, 0)","(9, 0)","(9, 0)"
850,"(16, 1)","(12, 1)","(19, 1)","(18, 0)","(18, 0)"
851,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
852,"(1, 1)","(6, 0)","(6, 0)","(6, 0)","(6, 0)"
853,"(4, 0)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
854,"(10, 1)","(7, 1)","(18, 0)","(18, 0)","(18, 0)"
855,"(17, 0)","(17, 0)","(17, 0)","(17, 0)","(17, 0)"
856,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
857,"(9, 1)","(5, 0)","(5, 0)","(5, 0)","(5, 0)"
858,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
859,"(14, 1)","(10, 0)","(10, 0)","(10, 0)","(10, 0)"
860,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
861,"(0, 1)","(1, 0)","(1, 0)","(1, 0)","(1, 0)"
862,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
863,"(1, 1)","(2, 1)","(3, 1)","(18, 0)","(18, 0)"
864,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
865,"(4, 1)","(1, 1)","(2, 1)","(3, 1)","(18, 0)"
866,"(17, 0)","(17, 0)","(17, 0)","(17, 0)","(17, 0)"
867,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
868,"(6, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
869,"(17, 1)","(16, 0)","(16, 0)","(16, 0)","(16, 0)"
870,"(12, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
871,"(4, 0)","(4, 0)","(4, 0)","(4, 0)","(4, 0)"
872,"(2, 1)","(3, 1)","(18, 0)","(18, 0)","(18, 0)"
873,"(13, 1)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
874,"(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)"
875,"(11, 1)","(19, 1)","(18, 0)","(18, 0)","(18, 0)"
